,status_group
37478,non functional
7403,functional
44531,non functional
28414,functional
10008,functional
35925,non functional
33976,functional needs repair
3386,functional
45238,functional needs repair
56601,non functional
11166,functional
2435,functional
38657,non functional
18239,functional
13044,non functional
17589,non functional
33048,functional
38316,functional
58136,non functional
28356,functional
16359,non functional
41377,functional
29008,non functional
21708,functional
12880,non functional
28636,functional
18355,non functional
34951,non functional
55354,functional
52129,functional
43266,non functional
47916,non functional
21735,functional
30880,functional
24876,non functional
1513,functional
9310,functional
53700,non functional
6451,functional
4516,functional
9779,functional
13817,non functional
29364,non functional
47401,functional
5092,functional
48671,functional
34619,functional
35786,functional
51557,non functional
56863,functional
361,non functional
40220,functional
43180,non functional
49993,non functional
16294,functional
16844,non functional
51138,functional
7302,functional
53759,functional
54211,functional
35952,functional
58008,functional
20490,non functional
21150,functional
13063,functional
30662,functional
13984,functional
2346,non functional
4468,non functional
4208,non functional
55660,functional
17620,non functional
5346,functional
4636,functional
45015,functional
33107,non functional
32180,functional
54938,functional
26815,non functional
44790,non functional
22627,functional
43969,functional
38277,functional
35015,functional
4472,functional
37468,non functional
21541,non functional
57530,non functional
45216,non functional
7714,non functional
50407,functional
27225,non functional
48249,functional
22897,functional
26223,functional
49504,functional
34802,functional
13827,functional
21954,non functional
49291,functional needs repair
15112,non functional
57432,non functional
33911,functional
16898,functional
58179,non functional
25707,non functional
15427,non functional
40656,non functional
23028,functional needs repair
7102,functional
51295,non functional
38690,functional
57099,non functional
23163,functional
22563,functional
22023,functional
8980,functional
55470,functional
39626,functional
3954,functional
5911,functional
34272,functional needs repair
36475,functional
58477,functional
10695,non functional
39114,functional
50550,functional
55017,functional
29820,non functional
42706,non functional
10097,functional
23352,functional needs repair
53935,non functional
41532,functional
59162,functional needs repair
18428,functional
36251,non functional
47163,functional
12833,non functional
11395,non functional
52731,functional
9855,functional
23242,functional
29647,functional
10752,non functional
10030,non functional
51221,non functional
17735,functional
45651,non functional
24546,functional
59354,non functional
23670,functional
43843,functional needs repair
22919,functional
49865,non functional
46634,non functional
20097,non functional
27652,non functional
55639,functional
17281,functional
31327,functional
38817,functional
17990,functional
17785,functional
27211,non functional
59061,functional
22114,non functional
21892,functional
1677,functional
26593,functional
92,non functional
51735,functional needs repair
14655,functional
3915,non functional
11726,functional
8069,functional
12042,non functional
27497,non functional
23475,non functional
51343,functional
29528,non functional
32344,functional
32189,non functional
59330,functional
56233,non functional
3891,non functional
2252,functional
13204,functional
47294,non functional
27129,non functional
2391,functional
36247,functional
20451,functional
3781,functional
7559,non functional
53417,functional
31233,functional needs repair
1292,non functional
42728,non functional
5735,non functional
89,functional needs repair
48203,functional
8028,non functional
33984,functional
13711,non functional
36118,non functional
56443,functional
29501,functional
12660,functional
35286,functional
42978,functional
16190,non functional
51329,functional
29254,functional
38476,functional
26298,functional
53,non functional
54757,non functional
47619,functional needs repair
42408,functional
5484,functional
5910,functional
45658,functional
31291,functional
38865,functional
56421,functional
22069,functional needs repair
45804,non functional
17381,non functional
42714,functional
41172,functional
22558,functional
49073,non functional
